AREA,TOPIC,LO,VERB,TYPE
CULTURE,what open data are,State what makes open data open (K),,
CULTURE,what open data are,Describe the basis of open data (K),,
CULTURE,what open data are,"Explain the general process, lifecycle, and potential of open data (K)",,
CULTURE,why I would open up data,Recall good OD examples (K),,
CULTURE,why I would open up data,Identify key impacts and benefits of opening up data (K),,
CULTURE,why I would open up data,Name the economic benefits (K),,
CULTURE,why I would open up data,Describe where we expect open data to be of value (K),,
CULTURE,why I would open up data,Explain why to open up my research data (K),,
CULTURE,why I would open up data,Determine which data would be beneficial to be opened or published (K),,
CULTURE,why I would open up data,Explain that open data is not an existential threat to the sector (K),,
CULTURE,how open data creates value,Describe the sector-wide benefits of open data (K),,
CULTURE,how open data creates value,Explain how OD creates value (K),,
CULTURE,how open data creates value,Explain how OD creates value in an education setting (K),,
CULTURE,who are the key actors in the OD world?,Recall actors in an open data ecosystem (K),,
CULTURE,who are the key actors in the OD world?,Identify the data community (K),,
CULTURE,who are the key actors in the OD world?,Identify ways to engage with journalists and other relevant public domain actors (K),,
CULTURE,what the opportunities are for the public sector,Recall examples and inspiration for public sector (K),,
CULTURE,what the opportunities are for the private sector,Recall examples and inspiration for private sector (K),,
CULTURE,what the opportunities are for the private sector,Recall success stories of start-ups and businesses built on Open Data (K),,
CULTURE,what the opportunities are for the private sector,Identify ways to start innovating collaboratively (K),,
CULTURE,what the opportunities are for the private sector,Explain the advantages or disadvantages against my business competitors to open my data (K),,
CULTURE,what is the value of open data in the social sector,Recall examples and inspiration for the social sector (K),,
CULTURE,what is the value of open data in the social sector,Explain how OD can address social challenges (K),,
CULTURE,"what the impact is of open data on society, business and public policy",Recall examples of OD across sectors (K),,
CULTURE,what is the connection between open data and open standards?,Explain data licenses (K),,
CULTURE,what is the connection between open data and open standards?,Describe semantic interoperability (K),,
MANAGEMENT,which of my data are of value/needed/demanded,Recognize which dataset is in a convenient and modifiable form (K),,
MANAGEMENT,which of my data are of value/needed/demanded,Identify which data sets add the most value to clients (K),,
MANAGEMENT,which of my data are of value/needed/demanded,Identify how the specific dataset provides value (S),,
MANAGEMENT,which of my datasets can be used to solve a problem,Identify which dataset provides the appropriate information (K),,
MANAGEMENT,which of my datasets can be used to solve a problem,Identify the proper dataset (K),,
MANAGEMENT,how to collaborate with stakeholders,Recognize different collaboration methods (K),,
MANAGEMENT,how to engage with the (potential) data users in a sustainable way,Identify ways to engage with users (K),,
MANAGEMENT,how to provide feedback possibilities on the data,Produce feedback possibilities on the data (S),,
MANAGEMENT,how to create a community around my data,Identify ways to create a community (K),,
MANAGEMENT,"how the users want to access the data (dump, api, interactive table, visualization, storytelling, format)",Identify ways how users want to access the data (K),,
MANAGEMENT,which data format is best for my users,Identify different data formats (K),,
MANAGEMENT,which data format is best for my users,Choose the right format for my user (S),,
MANAGEMENT,how to annotate a dataset so it is easier to be found,Decide which tags/metadata to use for the specific datasets (K/S),,
MANAGEMENT,how to annotate data so that they are correctly understood,"Add metadata about the meaning of the fields, datatypes used, ��_ (S)",,
MANAGEMENT,how to add proper metadata when publishing,Provide metadata in a machine readable way (S),,
MANAGEMENT,where to find open data that could be useful,List existing open data portals (K),,
MANAGEMENT,where to find open data that could be useful,Search an open data portal (S),,
MANAGEMENT,where to find open data that could be useful,Identify and evaluate data sources (K/S),,
MANAGEMENT,where to find open data that could be useful,Locate reliable data sources (S),,
MANAGEMENT,where to find open data that could be useful,List relevant keywords (K),,
MANAGEMENT,where to find open data that could be useful,"Identify sources that open data can come from (such as government departments, public sector bodies, local councils, universities and research institutions etc.) (K)",,
MANAGEMENT,what about ethics,Discuss ethics in relation to OD (K),,
MANAGEMENT,what about legalities,Recall legalities in relation to OD (K),,
MANAGEMENT,what about legalities,Explain rules concerning Intellectual property (K),,
MANAGEMENT,what about legalities,"Explain licenses, decrees, basic law, European legislature (K)",,
MANAGEMENT,"what about open data licenses, why and how to apply those",Choose the right license (S),,
MANAGEMENT,"what about open data licenses, why and how to apply those",Verify the license used allows for the re-use the company wants (S),,
MANAGEMENT,"what about open data licenses, why and how to apply those",Explain creative commons and open data licenses (K),,
MANAGEMENT,what about privacy & security,Identify the known security issues when using open data (K),,
MANAGEMENT,what about privacy & security,Identify the indirect or circumstantial risks regarding privacy while using open data (K),,
MANAGEMENT,what about privacy & security,Explain what is considered sensitive / private data (K),,
MANAGEMENT,how to make a roadmap for OD,Produce vision setting for open data publication (S),,
MANAGEMENT,how to make a roadmap for OD,Identify the organisational opportunities from open data (K),,
MANAGEMENT,how to make a roadmap for OD,Manage data programs (S),,
MANAGEMENT,how to make a roadmap for OD,Setting clear visions for open data use (S),,
MANAGEMENT,how to make a roadmap for OD,Operate change management (S),,
MANAGEMENT,how to get everyone one board (strategy & technical),Facilitate relevant workshop sessions (S),,
MANAGEMENT,how to get everyone one board (strategy & technical),Lead change programs (S),,
MANAGEMENT,how to get everyone one board (strategy & technical),Communicate about OD in my organisation and with partners (S),,
MANAGEMENT,how to get everyone one board (strategy & technical),"Calculate cost and ""profit"" (or cost reduction in the long term) (S)",,
MANAGEMENT,how to get everyone one board (strategy & technical),Speak to non-technical audiences about open data (S),,
MANAGEMENT,which international standards to use,Discuss international standards (K),,
MANAGEMENT,which international standards to use,Name the specifications for geographical data e.g. INSPIRE (Infrastructure for Spatial Information in Europe) (K),,
MANAGEMENT,which international standards to use,Summarize abilities on exploiting open data in GIS systems (K),,
MANAGEMENT,which international standards to use,Embed international standards in our work and software (K/S),,
MANAGEMENT,how to move to a data-driven decision making process,Discuss data-driven decision-making approaches (K),,
MANAGEMENT,how to share and exchange data?,Explain how to exchange data (K),,
MANAGEMENT,how to share and exchange data?,Explain how to merge data (K),,
